Summary,Issue key,Issue Type,Status,Project name,Project lead id,Resolution,Created,Updated,Resolved,Log Work
Online Orders with Incorrect Address Shipping Postal Code,FTTHS-8969,Maintenance Task,Doing,FTTH SQUAD,61d8399bbce5e000695c81cd,,2025/03/17 10:10,2025/03/24 11:02,,
Analytics,VMS-1219,Analytics Subtask,Not Applicable,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,,2025/03/04 09:54,2025/03/18 09:52,,;18/Mar/25 9:52 AM;712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422;0
Low Level Design,VMS-1216,Design Subtask,Not Applicable,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,,2025/03/04 09:54,2025/03/18 09:49,,;18/Mar/25 9:48 AM;712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422;0
Static Code Analysis,VMS-1215,Development Subtask,Not Applicable,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,,2025/03/04 09:54,2025/03/18 09:51,,;18/Mar/25 9:51 AM;712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422;0
Analytics,VMS-1204,Analytics Subtask,Done,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,NOT APPLICABLE,2025/02/19 16:25,2025/03/18 09:41,2025/03/18 09:41,;18/Mar/25 9:39 AM;712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422;0
Low Level Design,VMS-1202,Design Subtask,Done,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,,2025/02/19 16:25,2025/03/18 09:37,,;18/Mar/25 9:27 AM;712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422;0
Static Code Analysis,VMS-1199,Development Subtask,Not Applicable,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,,2025/02/19 16:25,2025/03/18 09:37,,;18/Mar/25 9:37 AM;712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422;0
Development Subtask,VMS-1197,Development Subtask,Done,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,Done,2025/02/19 16:25,2025/03/18 09:38,2025/03/18 09:38,;14/Mar/25 3:14 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;144000
VBT6 - Activate Business Journey page,VMS-1196,Story,Done,VB Mobile Squad,712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422,Done,2025/02/19 11:41,2025/03/25 13:12,2025/03/18 11:43,;18/Mar/25 9:43 AM;712020:e1d428a2-6b3b-4e25-bc24-c81f57aa2422;1036800
Create profile service for initiate payment service,CUS-7563,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2025/01/21 14:21,2025/03/11 09:47,2025/03/11 09:47,;21/Jan/25 2:22 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;1800
Create payment endpoint,CUS-7555,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,Done,2025/01/14 21:06,2025/01/21 14:20,2025/01/21 14:20,;14/Jan/25 9:07 PM;ug:0d815b4c-e9d8-49dc-9cf9-e0bbef56a40a;0
Static Code Analysis,PAPP-6336,Development Subtask,Not Applicable,Project 1App,61d439af567cb70070cfc100,,2025/01/14 11:32,2025/01/17 13:04,,
Development Subtask,PAPP-6136,Development Subtask,Not Applicable,Project 1App,61d439af567cb70070cfc100,,2024/11/18 10:57,2025/01/17 13:04,,
UI Audits,PAPP-6123,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/11/13 14:46,2024/11/28 09:27,2024/11/28 09:27,;28/Nov/24 9:27 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Process 4 cards.,PAPP-6120,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/11/12 15:39,2024/11/13 14:38,2024/11/13 14:38,;13/Nov/24 2:38 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Process 6 cards,PAPP-6119,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/11/12 15:38,2024/11/13 14:45,2024/11/13 14:45,;13/Nov/24 2:45 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;7200
Display cards without view all balances. if cards less than 4,PAPP-6118,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/11/12 15:37,2024/11/13 14:13,2024/11/12 15:40,;12/Nov/24 3:40 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;3600
If there are four or more cards then show View all balances,PAPP-6117,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/11/12 15:37,2024/11/13 14:13,2024/11/12 15:39,;12/Nov/24 3:39 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;3600
View all balances accordian,PAPP-6094,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/11/07 12:07,2024/11/13 14:13,2024/11/12 15:35,;07/Nov/24 12:10 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;3600
Development Subtask,PAPP-5969,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/10/16 14:48,2024/12/04 16:19,2024/12/04 16:19,;04/Dec/24 4:18 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;60
[1App] Homepage Redesign - Balances Page on MVA Container,PAPP-5968,Story,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/10/16 14:46,2024/12/05 12:26,2024/12/04 16:49,;04/Dec/24 4:49 PM;ug:0cb391b5-2c3d-4c11-9cb1-f751a682c2d8;201600
onboarding tagging fixes,PAPP-5947,Development Subtask,Done,Project 1App,61d439af567cb70070cfc100,Done,2024/10/11 12:13,2024/10/16 13:50,2024/10/16 13:50,;11/Oct/24 12:26 PM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;1500
